date,product_id,quantity_sold,revenue,profit
2022-01-01,PROD_001,18,1712.8799999999999,565.1999999999999
2022-01-01,PROD_002,8,1248.4,465.84000000000015
2022-01-01,PROD_003,12,16292.52,6668.280000000001
2022-01-01,PROD_004,29,2186.02,723.5499999999998
2022-01-01,PROD_005,7,2338.6299999999997,678.6499999999999
2022-01-01,PROD_006,7,10944.64,3889.48
2022-01-01,PROD_007,6,14953.560000000001,7405.800000000001
2022-01-01,PROD_008,5,5634.349999999999,2006.6499999999996
2022-01-01,PROD_009,16,52110.08,25919.52
2022-01-01,PROD_010,16,1531.36,718.3999999999999
2022-01-01,PROD_011,21,33681.27,14743.049999999997
2022-01-01,PROD_012,17,2842.57,1026.9700000000003
2022-01-01,PROD_013,26,49976.68,22862.580000000005
2022-01-01,PROD_014,4,1876.4,580.2800000000002
2022-01-01,PROD_015,16,18490.24,8960.160000000002
2022-01-01,PROD_016,14,22190.14,8960.279999999999
2022-01-01,PROD_017,20,7998.0,3995.2
2022-01-01,PROD_018,2,5002.6,1447.0800000000004
2022-01-01,PROD_019,17,6154.68,2570.4
2022-01-01,PROD_020,5,2413.5,664.8499999999999
2022-01-01,PROD_021,8,1429.2,538.4000000000001
2022-01-01,PROD_022,10,3692.0,1005.8999999999997
2022-01-01,PROD_023,8,1493.92,679.2800000000001
2022-01-01,PROD_024,7,8447.39,2016.8400000000001
2022-01-01,PROD_025,11,8230.53,3380.96
2022-01-01,PROD_026,14,31626.140000000003,8871.380000000005
2022-01-01,PROD_027,9,11294.64,4745.610000000001
2022-01-01,PROD_028,13,9077.12,3329.56
2022-01-01,PROD_029,24,1790.6399999999999,575.52
2022-01-01,PROD_030,10,2009.0,627.5
2022-01-01,PROD_031,11,23124.53,10964.91
2022-01-01,PROD_032,8,3222.56,908.56
2022-01-01,PROD_033,3,705.66,273.03
2022-01-01,PROD_034,12,18422.16,6819.6
2022-01-01,PROD_035,4,603.28,269.91999999999996
2022-01-01,PROD_036,11,6927.91,2635.5999999999995
2022-01-01,PROD_037,42,5040.0,1314.6
2022-01-01,PROD_038,4,9690.68,3916.96
2022-01-01,PROD_039,19,18860.73,7338.94
2022-01-01,PROD_040,18,5724.900000000001,2086.0200000000004
2022-01-01,PROD_041,5,5459.299999999999,2445.3999999999996
2022-01-01,PROD_042,8,7860.32,3886.64
2022-01-01,PROD_043,13,10918.44,4529.46
2022-01-01,PROD_044,8,12592.88,3306.6399999999994
2022-01-01,PROD_045,4,8197.28,4013.120000000001
2022-01-01,PROD_046,7,3581.69,1333.92
2022-01-01,PROD_047,11,5602.96,2492.4900000000002
2022-01-01,PROD_048,14,17945.059999999998,8743.98
2022-01-01,PROD_049,29,5784.049999999999,2888.1099999999997
2022-01-01,PROD_050,10,1424.7,502.2
2022-01-01,PROD_051,6,2854.08,1338.8400000000001
2022-01-01,PROD_052,4,6203.56,2687.5200000000004
2022-01-01,PROD_053,8,10602.48,4776.0
2022-01-01,PROD_054,9,4768.2,1462.6799999999998
2022-01-01,PROD_055,12,3438.4800000000005,1662.1200000000003
2022-01-01,PROD_056,14,3922.9399999999996,1790.7399999999996
2022-01-01,PROD_057,13,15628.86,5857.020000000001
2022-01-01,PROD_058,5,3298.1,1547.75
2022-01-01,PROD_059,29,620.89,221.85000000000002
2022-01-01,PROD_060,6,6290.099999999999,2730.0599999999995
2022-01-01,PROD_061,21,3168.48,1542.0299999999997
2022-01-01,PROD_062,18,7346.16,3299.94
2022-01-01,PROD_063,7,2549.4,1172.2199999999998
2022-01-01,PROD_064,21,1140.93,553.77
2022-01-01,PROD_065,6,8147.58,2987.4000000000005
2022-01-01,PROD_066,6,5374.0199999999995,1972.2599999999995
2022-01-01,PROD_067,1,445.28,220.30999999999997
2022-01-01,PROD_068,2,4177.26,1468.2400000000002
2022-01-01,PROD_069,18,2929.86,1411.5600000000004
2022-01-01,PROD_070,4,396.84,193.11999999999998
2022-01-01,PROD_071,4,1380.08,598.16
2022-01-01,PROD_072,8,5386.88,1820.0
2022-01-01,PROD_073,12,12218.76,4980.48
2022-01-01,PROD_074,9,5282.460000000001,1785.6900000000007
2022-01-01,PROD_075,3,1590.75,730.89
2022-01-01,PROD_076,25,1804.5000000000002,559.7500000000002
2022-01-01,PROD_077,7,2545.69,1103.13
2022-01-01,PROD_078,13,7945.860000000001,2425.5400000000004
2022-01-01,PROD_079,18,2102.94,546.3
2022-01-01,PROD_080,5,5106.4,1634.5
2022-01-01,PROD_081,6,8384.58,3883.6800000000003
2022-01-01,PROD_082,7,10588.480000000001,4997.4400000000005
2022-01-01,PROD_083,6,6111.96,2551.9199999999996
2022-01-01,PROD_084,18,8029.8,3879.5400000000004
2022-01-01,PROD_085,5,2716.9,1229.1999999999998
2022-01-01,PROD_086,15,7264.95,2396.3999999999996
2022-01-01,PROD_087,9,9284.13,4461.48
2022-01-01,PROD_088,23,36896.37,16335.52
2022-01-01,PROD_089,4,2433.76,622.3600000000001
